Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Grönliden,Exp model,28.858431434278188,-0.022825516059447788,2.0608829033600182,-1.4950934494787255e-5,NA,2.0557578886654655,0.05561393112120078,0.2103228275653953,0.005561643081298366,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Grönliden,Linear model,28.85840348284606,-0.022825780065414775,7.853075328563539,-1.215242885758558e-4,NA,2.0577139730724965,0.055670314053092675,1.6705641854608535,0.044346885986738825,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Hallstaberg,Stationary,28.262198869440223,NA,9.368969732329147,NA,NA,1.2067356376747411,NA,0.9693770453312002,NA,NA,NA,NA,NA,64.99931553730322,1959-10-01,2024-09-30
Hallstaberg,Exp model,28.887355139784788,-0.018512015029639076,2.4308390129476543,-0.006083331358902118,NA,2.6480545714850026,0.06411376303502939,0.2220070489651318,0.005933631924474874,NA,FALSE,NA,FALSE,64.99931553730322,1959-10-01,2024-09-30
Hallstaberg,Linear model,29.03726329200999,-0.022595290503977867,11.662540201637178,-0.06853198487214496,NA,2.706502734686077,0.06447947818179232,2.471567488449262,0.06046719559981187,NA,FALSE,NA,FALSE,64.99931553730322,1959-10-01,2024-09-30
Hanö A,Stationary,24.78890468737777,NA,8.62378941572582,NA,NA,0.7561165609128102,NA,0.5946203594072896,NA,NA,NA,NA,NA,141.9958932238193,1882-10-01,2024-09-30
Hanö A,Exp model,24.359377860702757,0.006064303840373268,2.1502320666088894,5.33929989929276e-5,NA,1.510459680121972,0.018442605924381444,0.14024235566761833,0.001709146771166435,NA,FALSE,NA,FALSE,141.9958932238193,1882-10-01,2024-09-30
Hanö A,Linear model,24.358848546180504,0.006070931254693279,8.585385298177574,4.796946859092679e-4,NA,1.5109682405177156,0.018437979447280435,1.2275401880034011,0.015108793361038072,NA,FALSE,NA,FALSE,141.9958932238193,1882-10-01,2024-09-30
Heden,Stationary,35.964070527688996,NA,8.429676903096858,NA,NA,1.1287000038338717,NA,0.8375650337050923,NA,NA,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Heden,Exp model,33.48811435890598,0.08204817066870344,2.061030595017729,0.0018575885854928873,NA,2.1637856073902055,0.0623761253248133,0.20736394990872517,0.005865414447608704,NA,FALSE,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
Heden,Linear model,33.48403905653317,0.08221666065564286,7.809764740002617,0.01660927275430232,NA,2.15694902954584,0.062308390797978515,1.717128417866405,0.050405336376581476,NA,FALSE,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
Hyltan,Stationary,27.068020750909046,NA,8.291752416450644,NA,NA,1.0237589699745702,NA,0.795430783669979,NA,NA,NA,NA,NA,71.99726214921287,1952-10-01,2024-09-30
Hyltan,Exp model,23.71972907285431,0.0957229259112203,1.80523180974135,0.007781337271413919,NA,1.7461468781835323,0.048643242786676505,0.18760756805200132,0.004519131955170655,NA,TRUE,NA,FALSE,71.99726214921287,1952-10-01,2024-09-30
Hyltan,Linear model,23.74486310345613,0.09533486105050151,6.004395186449166,0.05946811049258614,NA,1.7403141737092673,0.04815870806053983,1.25119349114528,0.03468315261226671,NA,TRUE,NA,FALSE,71.99726214921287,1952-10-01,2024-09-30
Härnösand,Stationary,37.61346294107894,NA,9.514629803510642,NA,NA,1.2525862080128836,NA,0.9370675499420602,NA,NA,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Härnösand,Exp model,34.139743025822675,0.11183365134531142,2.0727781494636037,0.004975728401510289,NA,2.26169190047461,0.06632206684829715,0.1957811402479934,0.0052743844407464385,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Härnösand,Linear model,34.098523060319714,0.11315782349730973,7.774692110472183,0.04965488761435665,NA,2.2485772016635455,0.06634418477501665,1.7256037283482362,0.05167797333636581,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Håvelund,Stationary,31.532108737930614,NA,7.510017430314564,NA,NA,0.9086918413210668,NA,0.6689613010541364,NA,NA,NA,NA,NA,75.99726214921287,1948-10-01,2024-09-30
Håvelund,Exp model,30.29171294580497,0.032995483049796034,1.9318865957220952,0.002124503577889489,NA,1.7624739148829591,0.04192455057326909,0.17006558277318143,0.003829813883045638,NA,FALSE,NA,FALSE,75.99726214921287,1948-10-01,2024-09-30
Håvelund,Linear model,30.324211931751705,0.032107174424753256,6.9384472440439,0.014529110020050964,NA,1.7534180974608111,0.04142814948094544,1.187381119608839,0.027552831476004205,NA,FALSE,NA,FALSE,75.99726214921287,1948-10-01,2024-09-30
Höglekardalen,Stationary,41.086959535396886,NA,15.03950975194287,NA,NA,2.013609799900255,NA,1.4960326168911595,NA,NA,NA,NA,NA,61.998631074606436,1962-10-01,2024-09-30
Höglekardalen,Exp model,43.21296543108667,-0.06654076390128406,2.8501871461339627,-0.004721697296302578,NA,4.345724414604565,0.11311144118329491,0.1899690403211201,0.005280112473079021,NA,FALSE,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
Höglekardalen,Linear model,43.126058037417764,-0.06430766517088271,17.116194789889512,-0.06857944979572922,NA,4.320955634704913,0.11245252836860409,3.0332594165972786,0.07818962557165927,NA,FALSE,NA,FALSE,61.998631074606436,1962-10-01,2024-09-30
Höljes,Stationary,28.47452795130772,NA,7.942153318048605,NA,NA,1.0338524509758669,NA,0.8217685330654618,NA,NA,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Höljes,Exp model,27.467932352242308,0.031827377182225385,2.0071450336518657,0.0019370156234481248,NA,2.040199223608874,0.057515049989036365,0.22601600493903057,0.006150108639007866,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Höljes,Linear model,27.43090087437267,0.03296891100216091,7.377396407444993,0.017065867102117757,NA,2.064925608015374,0.058473498491994166,1.799447712269967,0.05117928638073595,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Jäckvik,Stationary,28.953219503986706,NA,8.161750968651173,NA,NA,1.0721098841248344,NA,0.797732037368884,NA,NA,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Jäckvik,Exp model,26.39739469577302,0.08225911552407819,1.8702002635536288,0.006436202557903324,NA,1.881378043253814,0.05701686290071722,0.2178795065734598,0.005760251643540003,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Jäckvik,Linear model,26.386271482296273,0.08224321908878454,6.423643676699349,0.0500626917826405,NA,1.8905882167196686,0.056900135620430704,1.5321617452167586,0.044212407906539734,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Kilagården,Stationary,26.950824080290914,NA,8.811833000766734,NA,NA,1.1580339611642574,NA,0.890412443115518,NA,NA,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Kilagården,Exp model,25.427642827994664,0.04784521097170986,2.0412300736624536,0.00394761664703663,NA,2.172609978491853,0.06241409562402199,0.19569679002378135,0.005091095945451362,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Kilagården,Linear model,25.461844634788847,0.04677931710811242,7.74215410909388,0.031893384062823896,NA,2.176783933708154,0.06218321697339006,1.5614492357953036,0.0429148096589205,NA,FALSE,NA,FALSE,63.997262149212865,1960-10-01,2024-09-30
Klippan,Stationary,30.643274721866042,NA,9.265518998250524,NA,NA,1.0868579208293012,NA,0.8617267985698365,NA,NA,NA,NA,NA,78.99794661190965,1945-10-01,2024-09-30
Klippan,Exp model,26.81698319222592,0.10126927880935663,1.7416826606432694,0.010961959304541356,NA,1.6438182666977132,0.04587980638341138,0.18569246669645315,0.00405458210458645,NA,TRUE,NA,TRUE,78.99794661190965,1945-10-01,2024-09-30
Klippan,Linear model,26.818775223943472,0.10114140074639762,5.392460550462647,0.09296419764897021,NA,1.6157887276708924,0.044874081823984766,1.2096367819245153,0.03345305633887204,NA,TRUE,NA,TRUE,78.99794661190965,1945-10-01,2024-09-30
