Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Klippan,Linear model,29.20651652210633,NA,6.441484565410962,0.044478540046744376,0.2046708463355258,1.0552874139147619,NA,1.2518809534150341,0.028924195600944985,0.09559021882165344,NA,TRUE,FALSE,78.99794661190965,1945-10-01,2024-09-30
Kristinehamn,Stationary,28.201384420222205,NA,7.6100810556908485,NA,0.12474415938651585,1.0971130747457618,NA,0.8465663977493579,NA,0.11118937340088732,NA,NA,NA,63.997262149212865,1960-10-01,2024-09-30
Kristinehamn,Exp model,28.207669669910253,NA,2.0627759961766645,-9.79004449627562e-4,0.12043646643409298,1.0987451051620416,NA,0.2103859502201838,0.0051803174297750856,0.11384789105013562,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Kristinehamn,Linear model,28.207863849734093,NA,7.888903839699537,-0.008145340839613553,0.1199445443043699,1.098781395043504,NA,1.6856276491741509,0.04131448474914432,0.11418064829222412,NA,FALSE,FALSE,63.997262149212865,1960-10-01,2024-09-30
Ljusnedal,Stationary,25.05745585622828,NA,6.441039508407402,NA,-0.01078449845609013,0.7500308043433421,NA,0.5438440641219706,NA,0.07806337923355652,NA,NA,NA,93.99863107460644,1930-10-01,2024-09-30
Ljusnedal,Exp model,25.056468923751563,NA,1.8502597290870428,2.526673814405e-4,-0.00990426283246682,0.7498287013726872,NA,0.1597761683742648,0.0027602452901378666,0.07873922571590973,NA,FALSE,FALSE,93.99863107460644,1930-10-01,2024-09-30
Ljusnedal,Linear model,25.056498798213802,NA,6.3624584467006535,0.0016001862498679139,-0.009920427569822058,0.749843267360501,NA,1.0177117395949882,0.01770392988592776,0.07869109613362817,NA,FALSE,FALSE,93.99863107460644,1930-10-01,2024-09-30
Lund,Stationary,27.212351731866697,NA,7.218251149661227,NA,0.17303401873742047,1.0720665423124351,NA,0.8568580369324823,NA,0.12788573208717724,NA,NA,NA,62.997946611909654,1961-10-01,2024-09-30
Lund,Exp model,27.306901070963843,NA,2.047645471247939,-0.0026164871773612258,0.20354137225097782,1.087562241449916,NA,0.22243561550377283,0.006857344454215444,0.15656473299665583,NA,FALSE,FALSE,62.997946611909654,1961-10-01,2024-09-30
Lund,Linear model,27.29530741132318,NA,7.654960586079994,-0.015869156958293062,0.19881061950803403,1.0892313657106596,NA,1.5666649583242631,0.045307329133625826,0.152749040849035,NA,FALSE,FALSE,62.997946611909654,1961-10-01,2024-09-30
Mariestad,Stationary,28.66810796948242,NA,8.745190868746795,NA,-0.11049846124966524,1.2290627841648798,NA,0.8865560076744474,NA,0.10182374267811843,NA,NA,NA,65.99863107460644,1958-10-01,2024-09-30
Mariestad,Exp model,28.754299901621625,NA,2.2100604711048413,-0.0013954462029809422,-0.10265882956389791,1.2621877940731674,NA,0.18594819060340076,0.0051912114784160015,0.10759339853859701,NA,FALSE,FALSE,65.99863107460644,1958-10-01,2024-09-30
