Station,Dataset,Type,Model,Scale_Intercept,Scale_SE_Intercept,Scale_Slope,Scale_SE_Slope,Shape,Shape_SE,Trend_lr_pval,Shape_lr_pval,First_Observation_Date,Last_Observation_Date,Elapsed_Years,Significant_Trend,Significant_Shape
Hallstaberg,Original,Exponential,Stationary,9.205128205128204,0.8510143723593876,NA,NA,NA,NA,NA,NA,1959-08-01,2024-11-30,65.33333333333333,NA,NA
Hallstaberg,Original,GP,Multiplicative,2.1745354365203444,0.23391990171566457,-0.00568346748241968,0.005584636613919358,0.19450530665111404,0.09260313592693162,0.31024387097968703,NA,1959-08-01,2024-11-30,65.33333333333333,FALSE,NA
Hallstaberg,Original,Exponential,Multiplicative,2.4294424678812847,0.19510513453722317,-0.006352082165855302,0.00503921561098194,NA,NA,0.20669434477024165,0.0030114523807397466,1959-08-01,2024-11-30,65.33333333333333,FALSE,TRUE
Hanö A,Original,GP,Stationary,7.148431489905047,0.7056329749794146,NA,NA,0.18430230509886303,0.07687916727761271,NA,NA,1881-11-01,2024-11-30,143.07734428473648,NA,NA
Hanö A,Original,Exponential,Stationary,8.733333333333333,0.5501482652916202,NA,NA,NA,NA,NA,NA,1881-11-01,2024-11-30,143.07734428473648,NA,NA
Hanö A,Original,GP,Multiplicative,2.014520979746907,0.16092260481337115,-6.432865302376015e-4,0.001732025501343702,0.18400912523722926,0.07684010254341413,0.7102389428321825,NA,1881-11-01,2024-11-30,143.07734428473648,FALSE,NA
Hanö A,Original,Exponential,Multiplicative,2.207902599297787,0.1265974202593273,-5.544566883882052e-4,0.0014811979676032012,NA,NA,0.7089523215309786,0.004579594305973167,1881-11-01,2024-11-30,143.07734428473648,FALSE,TRUE
Heden,Original,GP,Stationary,8.592456781137795,1.3094899382405247,NA,NA,-0.017734118495001918,0.11991098169745797,NA,NA,1962-04-23,2024-11-30,62.60643394934976,NA,NA
Heden,Original,Exponential,Stationary,8.44222123893788,0.7941773370216012,NA,NA,NA,NA,NA,NA,1962-04-23,2024-11-30,62.60643394934976,NA,NA
Heden,Original,GP,Multiplicative,1.9580440723252472,0.2576146031709128,0.005159378920514034,0.005414831193813079,-0.0016010786397542827,0.11919303107483802,0.3336711522682927,NA,1962-04-23,2024-11-30,62.60643394934976,FALSE,NA
Heden,Original,Exponential,Multiplicative,1.9558440005872124,0.19961495832085177,0.00517730892007171,0.0052618355918385715,NA,NA,0.32823546432069434,0.9893039601096811,1962-04-23,2024-11-30,62.60643394934976,FALSE,FALSE
Hyltan,Original,GP,Stationary,5.277128378997352,0.8244047836051288,NA,NA,0.3197980478296036,0.13228599701410218,NA,NA,1952-08-17,2024-11-30,72.28747433264887,NA,NA
Hyltan,Original,Exponential,Stationary,7.522269230769173,0.6597466206527547,NA,NA,NA,NA,NA,NA,1952-08-17,2024-11-30,72.28747433264887,NA,NA
Hyltan,Original,GP,Multiplicative,1.6731120158933934,0.24828840147830253,-2.839296006434409e-4,0.00564959310696861,0.3214608196240972,0.1364996718643386,0.9599082561108648,NA,1952-08-17,2024-11-30,72.28747433264887,FALSE,NA
Hyltan,Original,Exponential,Multiplicative,1.859837088940972,0.18985635483628807,0.0038552289244547337,0.0041912319199552146,NA,NA,0.3602376708513744,0.0042257356738941805,1952-08-17,2024-11-30,72.28747433264887,FALSE,TRUE
Härnösand,Original,GP,Stationary,10.178046437067719,0.9543400959660242,NA,NA,0.1769471354544057,0.07107438223984745,NA,NA,1870-11-26,2024-11-30,154.00958247775498,NA,NA
Härnösand,Original,Exponential,Stationary,12.396911196911196,0.770306557961453,NA,NA,NA,NA,NA,NA,1870-11-26,2024-11-30,154.00958247775498,NA,NA
Härnösand,Original,GP,Multiplicative,2.5413849860461526,0.17672289286083123,-0.0022863049893434256,0.0015745236181805146,0.15057456961829369,0.07200377807094997,0.15307772565360472,NA,1870-11-26,2024-11-30,154.00958247775498,FALSE,NA
Härnösand,Original,Exponential,Multiplicative,2.790736578252148,0.13166367291731212,-0.0032795371534129463,0.0013324675101407059,NA,NA,0.013580097056575332,0.011109212437667217,1870-11-26,2024-11-30,154.00958247775498,TRUE,TRUE
Håvelund,Original,GP,Stationary,8.133045114371287,0.8966819293154601,NA,NA,-0.07811989850684178,0.06880578241562993,NA,NA,1948-02-06,2024-11-30,76.81587953456537,NA,NA
Håvelund,Original,Exponential,Stationary,7.549253731343282,0.652156159864939,NA,NA,NA,NA,NA,NA,1948-02-06,2024-11-30,76.81587953456537,NA,NA
Håvelund,Original,GP,Multiplicative,2.055068367554558,0.17500987159688217,0.0011171468196595322,0.0037845737770237247,-0.08673785617423037,0.0755847670924659,0.7688114530586295,NA,1948-02-06,2024-11-30,76.81587953456537,FALSE,NA
Håvelund,Original,Exponential,Multiplicative,2.0302911898736222,0.1903823396272597,-2.0165295436846688e-4,0.003862354438261547,NA,NA,0.9583859990799305,0.2959895437080961,1948-02-06,2024-11-30,76.81587953456537,FALSE,FALSE
Höglekardalen,Original,GP,Stationary,14.489934188925687,2.2132452490865293,NA,NA,2.2562031250000013e-7,0.12343493944905913,NA,NA,1962-02-01,2024-11-30,62.82819986310746,NA,NA
Höglekardalen,Original,Exponential,Stationary,14.892307692307693,1.4603108810775176,NA,NA,NA,NA,NA,NA,1962-02-01,2024-11-30,62.82819986310746,NA,NA
Höglekardalen,Original,GP,Multiplicative,2.870501434253502,0.21633301732202964,-0.004087052622278117,0.005424188779960881,-0.04472366003007318,0.11613776746291411,0.36384905048524774,NA,1962-02-01,2024-11-30,62.82819986310746,FALSE,NA
Höglekardalen,Original,Exponential,Multiplicative,2.8344383254408236,0.2008480491105882,-0.004341373748810186,0.005572496430847267,NA,NA,0.43575717941806713,0.7098853744157989,1962-02-01,2024-11-30,62.82819986310746,FALSE,FALSE
Höljes,Original,GP,Stationary,5.985360168948684,0.9297022096988179,NA,NA,0.28958241576799104,0.12890945522449548,NA,NA,1953-10-04,2024-11-30,71.15674195756331,NA,NA
Höljes,Original,Exponential,Stationary,8.273770491803278,0.749071952081444,NA,NA,NA,NA,NA,NA,1953-10-04,2024-11-30,71.15674195756331,NA,NA
Höljes,Original,GP,Multiplicative,1.8917798811381528,0.2610460767717622,-0.0026186445358323527,0.0054244540399939435,0.2850066639552145,0.1287945573830512,0.6299455080719009,NA,1953-10-04,2024-11-30,71.15674195756331,FALSE,NA
Höljes,Original,Exponential,Multiplicative,2.241713689153582,0.19256645757015953,-0.003472299502513575,0.004500705879860895,NA,NA,0.4397563086073027,0.004735267579485947,1953-10-04,2024-11-30,71.15674195756331,FALSE,TRUE
Jäckvik,Original,GP,Stationary,6.417518101255228,0.876250725986966,NA,NA,0.20697305239530153,0.10909850647346722,NA,NA,1943-11-01,2024-11-30,81.08145106091717,NA,NA
Jäckvik,Original,Exponential,Stationary,8.039190140845147,0.6746338197750854,NA,NA,NA,NA,NA,NA,1943-11-01,2024-11-30,81.08145106091717,NA,NA
Jäckvik,Original,GP,Multiplicative,2.0155158396490265,0.22718158249848344,-0.0034708457886621154,0.004116059297270908,0.19853915697584232,0.10916180903090182,0.40022750282545655,NA,1943-11-01,2024-11-30,81.08145106091717,FALSE,NA
Jäckvik,Original,Exponential,Multiplicative,2.2430978594746938,0.16969707380385704,-0.003760561537390576,0.0033985941611728134,NA,NA,0.2671903403532182,0.0305105033093337,1943-11-01,2024-11-30,81.08145106091717,FALSE,TRUE
Kilagården,Original,GP,Stationary,8.824473354634693,1.311983568737281,NA,NA,0.04111443691464,0.11680686171555342,NA,NA,1956-01-18,2024-11-30,68.86789869952088,NA,NA
Kilagården,Original,Exponential,Stationary,9.2,0.8469286183654915,NA,NA,NA,NA,NA,NA,1956-01-18,2024-11-30,68.86789869952088,NA,NA
Kilagården,Original,GP,Multiplicative,2.2809855675348967,0.22275100875828818,-0.0028524779734473826,0.004793268075306947,0.04603460184618149,0.11337881381114567,0.5484846893807791,NA,1956-01-18,2024-11-30,68.86789869952088,FALSE,NA
Kilagården,Original,Exponential,Multiplicative,2.3152318776662306,0.19673342889522638,-0.0025268688467404636,0.0045105367782801815,NA,NA,0.5751753129100575,0.6726731235126842,1956-01-18,2024-11-30,68.86789869952088,FALSE,FALSE
Klippan,Original,GP,Stationary,7.56608879346795,1.0594971463592213,NA,NA,0.24747726859855265,0.11179038674434576,NA,NA,1945-01-01,2024-11-30,79.91238877481177,NA,NA
Klippan,Original,Exponential,Stationary,9.965151515151515,0.867355083698969,NA,NA,NA,NA,NA,NA,1945-01-01,2024-11-30,79.91238877481177,NA,NA
Klippan,Original,GP,Multiplicative,1.89428453711742,0.2418891734086573,0.003016783847493871,0.004544874597977269,0.24588847069614214,0.11142972498646461,0.5071628014947182,NA,1945-01-01,2024-11-30,79.91238877481177,FALSE,NA
Klippan,Original,Exponential,Multiplicative,2.176302609247464,0.17788029538528363,0.0028118071194448415,0.0036169814466034756,NA,NA,0.43954098648430484,0.007214552586703657,1945-01-01,2024-11-30,79.91238877481177,FALSE,TRUE
Kristinehamn,Original,GP,Stationary,7.183555103056512,1.0864699466065213,NA,NA,0.11212634157516706,0.11953307187552878,NA,NA,1959-10-18,2024-11-30,65.11978097193703,NA,NA
Kristinehamn,Original,Exponential,Stationary,8.073239130434871,0.7528333970235597,NA,NA,NA,NA,NA,NA,1959-10-18,2024-11-30,65.11978097193703,NA,NA
Kristinehamn,Original,GP,Multiplicative,2.271945075804498,0.29450430007588996,-0.007732975095697668,0.006553100879877549,0.08086993298981317,0.12399533463815196,0.2440359855141473,NA,1959-10-18,2024-11-30,65.11978097193703,FALSE,NA
Kristinehamn,Original,Exponential,Multiplicative,2.3830771993930377,0.2369812340250298,-0.008526512611535654,0.006128960854919662,NA,NA,0.1627136927554687,0.4910905391402409,1959-10-18,2024-11-30,65.11978097193703,FALSE,FALSE
Ljusnedal,Original,GP,Stationary,6.431511396531147,0.7593185867585297,NA,NA,0.04430431969309746,0.08902937698934783,NA,NA,1930-01-01,2024-11-30,94.91307323750856,NA,NA
Ljusnedal,Original,Exponential,Stationary,6.7283132530120495,0.5222183527382229,NA,NA,NA,NA,NA,NA,1930-01-01,2024-11-30,94.91307323750856,NA,NA
Ljusnedal,Original,GP,Multiplicative,2.015549875980866,0.1818840681118331,-0.0030669631061611092,0.002830404001321624,0.03335896128397867,0.0916204871835098,0.2824817745264265,NA,1930-01-01,2024-11-30,94.91307323750856,FALSE,NA
Ljusnedal,Original,Exponential,Multiplicative,2.0508299666485095,0.1520632954044996,-0.003098412241953578,0.0027284731501497354,NA,NA,0.2570322214904152,0.7081741400641043,1930-01-01,2024-11-30,94.91307323750856,FALSE,FALSE
Lund,Original,GP,Stationary,8.640355687358335,1.2861463185883921,NA,NA,-0.01584751152595068,0.11569797401873362,NA,NA,1961-01-01,2024-11-30,63.912388774811774,NA,NA
Lund,Original,Exponential,Stationary,8.50533333333345,0.796597423196681,NA,NA,NA,NA,NA,NA,1961-01-01,2024-11-30,63.912388774811774,NA,NA
Lund,Original,GP,Multiplicative,2.09026078870496,0.22890082420649,0.0018756484000266593,0.004809037422469439,-0.01874487590842917,0.11587375828445576,0.6981949263169441,NA,1961-01-01,2024-11-30,63.912388774811774,FALSE,NA
Lund,Original,Exponential,Multiplicative,2.0718805468429444,0.20263851497546329,0.0018687801909438963,0.004923063677599362,NA,NA,0.705181515278873,0.8731965355237181,1961-01-01,2024-11-30,63.912388774811774,FALSE,FALSE
Mariestad,Original,GP,Stationary,12.372349389792364,1.5586275580129758,NA,NA,-0.26842909126407233,0.08909831144730306,NA,NA,1958-08-01,2024-11-30,66.33264887063655,NA,NA
Mariestad,Original,Exponential,Stationary,9.72136752136752,0.8987407199314702,NA,NA,NA,NA,NA,NA,1958-08-01,2024-11-30,66.33264887063655,NA,NA
Mariestad,Original,GP,Multiplicative,2.412344922366366,0.20400571384709162,0.0023308887769529813,0.003507012960699477,-0.25551910935145494,0.08885074448932076,0.5044361687702386,NA,1958-08-01,2024-11-30,66.33264887063655,FALSE,NA
Mariestad,Original,Exponential,Multiplicative,2.0892318024016356,0.2181892704468006,0.0047908898833271775,0.005214078535486449,NA,NA,0.3607605547426424,0.014355243246416119,1958-08-01,2024-11-30,66.33264887063655,FALSE,TRUE
Mångsbodarna,Original,GP,Stationary,6.876739475193553,0.8738753844308504,NA,NA,0.05279264305423574,0.09174935386239412,NA,NA,1952-09-27,2024-11-30,72.17522245037645,NA,NA
Mångsbodarna,Original,Exponential,Stationary,7.260069767441992,0.6392134655681503,NA,NA,NA,NA,NA,NA,1952-09-27,2024-11-30,72.17522245037645,NA,NA
Mångsbodarna,Original,GP,Multiplicative,1.9822957107564678,0.23180539542355585,-0.0012750935088176537,0.00459232306455533,0.049937401939472346,0.09145907905333862,0.7816852056426763,NA,1952-09-27,2024-11-30,72.17522245037645,FALSE,NA
Mångsbodarna,Original,Exponential,Multiplicative,2.041625275135903,0.19906852220448107,-0.001479535597970566,0.004411434563719692,NA,NA,0.7341894437270736,0.562245099698016,1952-09-27,2024-11-30,72.17522245037645,FALSE,FALSE
Ockelbo,Original,GP,Stationary,8.56618184408963,1.1544227137325893,NA,NA,0.18774209794824331,0.10616198377620818,NA,NA,1945-01-01,2024-11-30,79.91238877481177,NA,NA
Ockelbo,Original,Exponential,Stationary,10.5,0.8874119449397885,NA,NA,NA,NA,NA,NA,1945-01-01,2024-11-30,79.91238877481177,NA,NA
Ockelbo,Original,GP,Multiplicative,2.4307524382830867,0.2180939765309337,-0.006910415548060196,0.004380006703285674,0.19053293736943536,0.10104894383349892,0.11180169146668151,NA,1945-01-01,2024-11-30,79.91238877481177,FALSE,NA
Ockelbo,Original,Exponential,Multiplicative,2.542210827377459,0.17732246234602597,-0.004607352033729798,0.00365264963376946,NA,NA,0.2070423592209702,0.020560072401320184,1945-01-01,2024-11-30,79.91238877481177,FALSE,TRUE
Oxelösund,Original,GP,Stationary,7.808940027985171,1.0793672375980214,NA,NA,0.0618253968876199,0.09896894213505383,NA,NA,1963-07-01,2024-11-30,61.41820670773443,NA,NA
Oxelösund,Original,Exponential,Stationary,8.324299065420561,0.8047403310677653,NA,NA,NA,NA,NA,NA,1963-07-01,2024-11-30,61.41820670773443,NA,NA
Oxelösund,Original,GP,Multiplicative,2.1155010333584445,0.25982038553488357,-0.001678525348390532,0.006114080601868012,0.05481476747174018,0.10294672124590913,0.7845129806549335,NA,1963-07-01,2024-11-30,61.41820670773443,FALSE,NA
Oxelösund,Original,Exponential,Multiplicative,2.2015116096013676,0.20571047409625248,-0.0026108650532738515,0.005687789624644355,NA,NA,0.6459730388915587,0.5778884677304128,1963-07-01,2024-11-30,61.41820670773443,FALSE,FALSE
Prästkulla,Original,GP,Stationary,6.7649990721974085,0.8703712476832965,NA,NA,0.1846351175692579,0.09849952167487151,NA,NA,1945-01-01,2024-11-30,79.91238877481177,NA,NA
Prästkulla,Original,Exponential,Stationary,8.314893617021276,0.7002403303460227,NA,NA,NA,NA,NA,NA,1945-01-01,2024-11-30,79.91238877481177,NA,NA
Prästkulla,Original,GP,Multiplicative,1.7819187465274084,0.20375052505702346,0.0033727062060552784,0.004045582446709239,0.171463188243758,0.09907851100947576,0.408201529160237,NA,1945-01-01,2024-11-30,79.91238877481177,FALSE,NA
Prästkulla,Original,Exponential,Multiplicative,1.9107720315567573,0.16531497392333233,0.004805423183464793,0.003410638691757676,NA,NA,0.1611803262015487,0.028046576399233865,1945-01-01,2024-11-30,79.91238877481177,FALSE,TRUE
Ramsjöholm,Original,GP,Stationary,8.629273601924293,1.1323113773950548,NA,NA,0.08939790689273702,0.09698795639877895,NA,NA,1951-11-16,2024-11-30,73.0403832991102,NA,NA
Ramsjöholm,Original,Exponential,Stationary,9.473228346456692,0.8406130558681058,NA,NA,NA,NA,NA,NA,1951-11-16,2024-11-30,73.0403832991102,NA,NA
Ramsjöholm,Original,GP,Multiplicative,1.9906032230275168,0.2240255775435413,0.004154017139326341,0.004524615394375567,0.07970616165239329,0.097471163243552,0.36230033816582313,NA,1951-11-16,2024-11-30,73.0403832991102,FALSE,NA
Ramsjöholm,Original,Exponential,Multiplicative,2.064311337393628,0.19545328879838508,0.004372835430503903,0.004228863870885629,NA,NA,0.3034387654379662,0.3819758577537834,1951-11-16,2024-11-30,73.0403832991102,FALSE,FALSE
Saittarova D,Original,GP,Stationary,8.555337229725248,1.0468796441119022,NA,NA,-0.09534489732194493,0.08431310319808187,NA,NA,1952-02-01,2024-11-30,72.82956878850102,NA,NA
Saittarova D,Original,Exponential,Stationary,7.8089365079367115,0.6956753222017735,NA,NA,NA,NA,NA,NA,1952-02-01,2024-11-30,72.82956878850102,NA,NA
Saittarova D,Original,GP,Multiplicative,2.198721104408165,0.2369866257506401,-0.001042003979385424,0.004067460808192846,-0.10411054435559945,0.09106921149250433,0.8004039109908017,NA,1952-02-01,2024-11-30,72.82956878850102,FALSE,NA
Saittarova D,Original,Exponential,Multiplicative,2.042475279557818,0.20161701804076176,3.0493357403592005e-4,0.004315466959050537,NA,NA,0.9437361685524212,0.2983301150542609,1952-02-01,2024-11-30,72.82956878850102,FALSE,FALSE
Sjögärde,Original,GP,Stationary,7.707746367671276,1.0814328257924704,NA,NA,0.17447710966413255,0.10573688359583089,NA,NA,1960-01-09,2024-11-30,64.89253935660507,NA,NA
Sjögärde,Original,Exponential,Stationary,9.347368421052632,0.8754612330077147,NA,NA,NA,NA,NA,NA,1960-01-09,2024-11-30,64.89253935660507,NA,NA
Sjögärde,Original,GP,Multiplicative,2.0712902330286997,0.25400424036546904,-7.67673593991284e-4,0.005596755949429385,0.17160393236731813,0.10775493792897406,0.8910591169569063,NA,1960-01-09,2024-11-30,64.89253935660507,FALSE,NA
Sjögärde,Original,Exponential,Multiplicative,2.353004335795231,0.18808236461755137,-0.0035153368279746493,0.004763795340355202,NA,NA,0.45929606634207704,0.055583260520278004,1960-01-09,2024-11-30,64.89253935660507,FALSE,FALSE
Säffle,Original,GP,Stationary,8.647428722575054,1.2041587727070295,NA,NA,0.13497552813675334,0.10826120484926287,NA,NA,1951-10-01,2024-11-30,73.16632443531827,NA,NA
Säffle,Original,Exponential,Stationary,9.973218749999797,0.8815163050496915,NA,NA,NA,NA,NA,NA,1951-10-01,2024-11-30,73.16632443531827,NA,NA
Säffle,Original,GP,Multiplicative,1.8452344962151663,0.21469234522692288,0.008917332530591217,0.00444998824649941,0.0730770608689553,0.11220540805568437,0.055161255246845266,NA,1951-10-01,2024-11-30,73.16632443531827,FALSE,NA
Säffle,Original,Exponential,Multiplicative,1.8994742463632897,0.1871231426260229,0.009429193344032374,0.004088249615003006,NA,NA,0.022915894671764303,0.4951607711266268,1951-10-01,2024-11-30,73.16632443531827,TRUE,FALSE
Sörbytorp,Original,GP,Stationary,8.72619250110374,1.1523363146312473,NA,NA,1.0109003906250006e-7,0.10363598071789877,NA,NA,1945-01-01,2024-11-30,79.91238877481177,NA,NA
Sörbytorp,Original,Exponential,Stationary,8.770923076922946,0.7334614080525461,NA,NA,NA,NA,NA,NA,1945-01-01,2024-11-30,79.91238877481177,NA,NA
Sörbytorp,Original,GP,Multiplicative,2.2169777544516793,0.1975660005323149,-7.485943716507852e-4,0.0034313114639746268,-0.015194652791010352,0.10231030724271345,0.7955161973198273,NA,1945-01-01,2024-11-30,79.91238877481177,FALSE,NA
Sörbytorp,Original,Exponential,Multiplicative,2.200326332262865,0.16476450258194394,-7.110382538202679e-4,0.003475334463220702,NA,NA,0.8379325422803839,0.8832096814753367,1945-01-01,2024-11-30,79.91238877481177,FALSE,FALSE
Traneberg,Original,GP,Stationary,6.877992169001384,1.0306807695775206,NA,NA,0.17178601877606403,0.12195671127100666,NA,NA,1951-02-11,2024-11-30,73.80150581793292,NA,NA
Traneberg,Original,Exponential,Stationary,8.24765625,0.7289966742318885,NA,NA,NA,NA,NA,NA,1951-02-11,2024-11-30,73.80150581793292,NA,NA
Traneberg,Original,GP,Multiplicative,1.5368692675896483,0.2609180890913362,0.009908039459627243,0.005156005100923949,0.14505694555663692,0.11670207977331198,0.05735208799707449,NA,1951-02-11,2024-11-30,73.80150581793292,FALSE,NA
Traneberg,Original,Exponential,Multiplicative,1.7175211133718251,0.20229970006596462,0.009220583607903707,0.004459837812083558,NA,NA,0.04066057535964362,0.164187946565682,1951-02-11,2024-11-30,73.80150581793292,TRUE,FALSE
Ungsberg,Original,GP,Stationary,8.267856504893581,1.1267635833299954,NA,NA,0.10271074740225841,0.1019578220876452,NA,NA,1956-01-31,2024-11-30,68.83230663928816,NA,NA
Ungsberg,Original,Exponential,Stationary,9.210169421487779,0.8372881000375726,NA,NA,NA,NA,NA,NA,1956-01-31,2024-11-30,68.83230663928816,NA,NA
Ungsberg,Original,GP,Multiplicative,2.0744842474661254,0.26002942495620684,9.66481590489602e-4,0.005646266540360126,0.10476796754044865,0.10234928555895145,0.8639994761360162,NA,1956-01-31,2024-11-30,68.83230663928816,FALSE,NA
Ungsberg,Original,Exponential,Multiplicative,2.224660983001264,0.20708314212204065,-1.1785994465223247e-4,0.005033481460196387,NA,NA,0.981329433323038,0.2555589572013639,1956-01-31,2024-11-30,68.83230663928816,FALSE,FALSE
Uppsala,Original,GP,Stationary,6.96932219594321,0.5596495348650139,NA,NA,0.11039435737928652,0.05885545695961016,NA,NA,1836-01-01,2024-11-30,188.91170431211498,NA,NA
Uppsala,Original,Exponential,Stationary,7.840181268882176,0.43093531698968307,NA,NA,NA,NA,NA,NA,1836-01-01,2024-11-30,188.91170431211498,NA,NA
Uppsala,Original,GP,Multiplicative,1.6521395897083815,0.12464184254618163,0.0032570479736051174,0.001038268310846716,0.08823481309963643,0.05892320077597553,0.0018900474773603615,NA,1836-01-01,2024-11-30,188.91170431211498,TRUE,NA
Uppsala,Original,Exponential,Multiplicative,1.7447327241989254,0.1025624690085066,0.0032559543925135756,9.468925398844431e-4,NA,NA,6.197044135224277e-4,0.09408908118706204,1836-01-01,2024-11-30,188.91170431211498,TRUE,FALSE
Ytterberg D,Original,GP,Stationary,7.048251740725166,0.9479453392095751,NA,NA,0.060285819640679826,0.09993694388335504,NA,NA,1953-10-31,2024-11-30,71.08281998631075,NA,NA
Ytterberg D,Original,Exponential,Stationary,7.499186991869919,0.6761788836996686,NA,NA,NA,NA,NA,NA,1953-10-31,2024-11-30,71.08281998631075,NA,NA
Ytterberg D,Original,GP,Multiplicative,2.0104799930668835,0.2298590564298647,-0.001438830800225534,0.004664385352123772,0.0574445122342551,0.10082702134560417,0.7581473693024139,NA,1953-10-31,2024-11-30,71.08281998631075,FALSE,NA
Ytterberg D,Original,Exponential,Multiplicative,2.076432087888152,0.1934711693488941,-0.0016397503873115534,0.004461646295220491,NA,NA,0.7026600069108816,0.5436021612805594,1953-10-31,2024-11-30,71.08281998631075,FALSE,FALSE
Åby,Original,GP,Stationary,5.664675000331935,0.8423475301055277,NA,NA,0.36419950419499064,0.1265065580519555,NA,NA,1945-02-28,2024-11-30,79.75359342915812,NA,NA
Åby,Original,Exponential,Stationary,8.567605633802817,0.7189774646277882,NA,NA,NA,NA,NA,NA,1945-02-28,2024-11-30,79.75359342915812,NA,NA
